[(['0.576', '-0.999', '-0.999'], 'overall', [['htc', 0]], [])]	HTC Magic
[(['0.576', '-0.999', '-0.999'], 'overall', [['dialer', 32], ['voice', 112], ['dialer', 118]], [])]	o Send ( Green ) - Launches the dialer to call a number ,  or accepts an incoming call ,  or hold to launch the voice dialer .
[(['0.576', '-0.999', '-0.999'], 'overall', [['android', 24], ['home screen', 32], ['applications', 90]], [])]	o Home - Returns to the android Home Screen ,  or hold to open up a list of recently used applications .
[(['0.576', '-0.999', '-0.999'], 'overall', [['application', 41], ['keyboard', 79]], [])]	o Menu - Opens up the menu of the active application ,  or hold to open up the keyboard .
[(['0.576', '-0.999', '-0.999'], 'overall', [['back', 2], ['keyboard', 26], ['back', 46], ['application', 67], ['back', 90], ['web', 109], ['browser', 113]], [])]	o Back - Exits out of the keyboard ,  or goes back to the previous application ,  or goes back a page in the web browser .
[(['0.576', '-0.999', '-0.999'], 'overall', [['search', 2], ['search', 22], ['application', 52], ['voice', 85], ['search', 91]], [])]	o Search - Launches a search function in the active application ,  or hold to launch voice search .
[]	o End ( Red ) - Ends a call if there is a call currently active ,  or puts the phone into sleep mode ,  or hold to Power off the phone .
[(['0.576', '-0.999', '-0.999'], 'overall', [['trackball', 2], ['trackball', 22], ['text', 84]], [])]	o Trackball - Backlit Trackball navigates between menus or scroll through a line of text ,  press down to select the highlighted item .
[(['0.191', '-1.264', '-0.287'], 'overall', [['htc', 6], ['calls', 67], ['text', 76], ['charging', 118], ['charging', 144], ['volume rocker', 189], ['side of the phone', 215], ['camera', 267], ['button', 274]], [['no', 245]])]	o The HTC Magic also has an LED indicator which flashes for missed calls ,  text messages ,  or lights up orange when charging ,  or green when charging is 90% or higher .  There is also a Volume Rocker on the left side of the phone .  There is no physical dedicated camera button .
[(['0.576', '-0.999', '-0.999'], 'overall', [['camera', 2], ['htc', 16], ['camera', 46], ['autofocus', 58], ['functionality', 68]], [])]	* Camera :  The HTC Magic has a 3.2-megapixel camera with autofocus functionality .
[(['0.191', '-1.264', '-0.287'], 'overall', [['video', 2], ['htc', 15], ['play', 29], ['h.264', 34], ['3gp', 77], ['flash', 115], ['camera', 134], ['video recording', 168], ['youtube', 201], ['android 1.5', 228], ['resolution', 253], ['h.263', 272], ['3gp', 278]], [['no', 101]])]	* Video :  The HTC Magic can play H.264 ,  streaming ,  3GPP ,  MPEG4 ,  and 3GP files.[24] There is no light ( “flash "  ) for the camera in low light conditions .  Video recording and uploading to YouTube is available as of Android 1.5 .  Recording resolution 352x288 H.263 3GP Mono sound @ 8 kHz .
[(['0.041', '-1.129', '-0.964'], 'overall', [['htc', 17], ['card', 41], ['slot', 46], ['memory', 85], ['card', 92], ['card', 277], ['htc', 311], ['media', 345], ['application', 450]], [['without', 282], ['but', 380]])]	* Storage :  The HTC Magic has a microSD card slot and comes with a 4GB Class 2 SDHC memory card .  It has been confirmed to work with capacities up to 16GB ,  and may work with even larger cards .  When the USB cable is connected to a computer ,  this computer can access the card without removing it from the HTC Magic .  The phone can access media files arranged in folders ,  but the folders have to be created from a third-party file management application or from a computer .
[(['0.576', '-0.999', '-0.999'], 'overall', [['battery', 2], ['htc', 17], ['battery', 94]], [])]	* Battery :  The HTC Magic has a user-replaceable ,  3.7V ,  1340mAh rechargeable lithium ion battery ,  which is advertised to offer up to 600 hours of standby power .
[(['0.576', '-0.999', '-0.999'], 'overall', [['htc', 18], ['gps', 43], ['functionality', 69], ['gps', 111], ['google maps navigation', 117], ['wifi', 199], ['htc', 251]], [])]	* Location :  The HTC Magic has a built in GPS receiver for location functionality including free turn by turn GPS ( Google Maps Navigation ,  United States only ) .  It can also use cell towers and wifi hotspots to help determine its location .  The HTC Magic has a built in digital Compass to help determine its orientation .
[(['0.576', '-0.999', '-0.999'], 'overall', [['colors', 26], ['3g', 63], ['htc', 176], ['buttons', 228], ['htc', 252]], [])]	* Case :  Three different colors are available for the myTouch 3G :  Black ( Gray Trim ) ,  Merlot ( Black Trim ) ,  and White ( Silver Trim ) .  The Google Ion version of the HTC Magic is black with a dark blue trim and silver buttons .  The Vodafone HTC Magic is white with a silver trim .
[(['0.586', '-0.888', '-1.299'], 'overall', [['htc', 22], ['wifi', 41], ['3g', 49], ['umts', 52], ['edge', 69], ['gprs', 81], ['3g', 110], ['at&t', 122], ['network', 130], ['2g', 150], ['edge', 153]], [['but', 138]])]	* Connectivity :  The HTC Magic supports WiFi ,  3G UMTS and HSPA ,  EDGE ,  and GPRS networks .  The myTouch 3G supports AT&T 's network but only on 2G/EDGE .
[(['0.576', '-0.999', '-0.999'], 'overall', [['package', 0]], [])]	Package Contents
[(['-0.844', '-0.991', '0.317'], 'overall', [['t-mobile', 4], ['3g', 21], ['pair', 45], ['charger', 149], ['screen', 188], ['card', 357]], [['unique', 242]])]	The T-Mobile myTouch 3G comes bundled with a pair of headphones ,  a extUSB headphone adapter ( which also serves as an in-line microphone ) ,  wall charger ,  USB Cable ,  Cloth Pouch ,  Screen Protector ,  and documentation ,  all inside a unique carrying case that also serves as the retail box .  The Phone itself also has a 4GB SanDisk Class 2 microSD Card ( SDHC ) inside .
[(['0.576', '-0.999', '-0.999'], 'overall', [['htc', 13], ['pair', 44], ['charger', 71], ['card', 169]], [])]	The Vodafone HTC Magic comes bundled with a pair of headphones ,  wall charger ,  USB cable ,  leatherette pouch and documentation .  The phone comes with a 2GB microSD card .
[(['0.576', '-0.999', '-0.999'], 'overall', [['htc', 21], ['pair', 52], ['charger', 79], ['card', 177]], [])]	The Vodafone Germany HTC Magic comes bundled with a pair of headphones ,  wall charger ,  USB cable ,  leatherette pouch and documentation .  The phone comes with a 8GB microSD card .
